Término,TTF,IDF,TTF-IDF,% de Textos
corpus compiler,53,2.1314021114911004,112.96431190902832,30.0
default setting,37,3.0476928433652555,112.76463520451445,10.0
style sheet,30,3.740840023925201,112.22520071775602,3.3333333333333335
language acquisition,65,1.7259370033829362,112.18590521989086,46.666666666666664
research project,67,1.6613984822453651,111.31369831043946,50.0
line of code,33,3.3353749158170367,110.06737222196222,6.666666666666667
language corpus,66,1.6613984822453651,109.6522998281941,50.0
word tag,44,2.488077055429833,109.47539043891264,20.0
language datum,63,1.7259370033829362,108.73403121312498,46.666666666666664
element of vector,29,3.740840023925201,108.48436069383082,3.3333333333333335
pseudo title,29,3.740840023925201,108.48436069383082,3.3333333333333335
web page,44,2.35454566280531,103.60000916343364,23.333333333333332
use of corpora,55,1.8690378470236095,102.79708158629852,40.0
corpus text,50,2.0360919316867756,101.80459658433878,33.33333333333333
text text,54,1.8690378470236095,100.92804373927491,40.0
corpus size,53,1.8690378470236095,99.0590058922513,40.0
register analysis,35,2.8245492920510458,98.8592252217866,13.333333333333334
variety of english,46,2.1314021114911004,98.04449712859062,30.0
meta information,37,2.6422277352570913,97.76242620451238,16.666666666666664
ice gb,37,2.6422277352570913,97.76242620451238,16.666666666666664
language variation,48,2.0360919316867756,97.73241272096523,33.33333333333333
language technology,32,3.0476928433652555,97.52617098768818,10.0
multimodal corpus,26,3.740840023925201,97.26184062205522,3.3333333333333335
part of speech,52,1.8690378470236095,97.1899680452277,40.0
language user,39,2.488077055429833,97.03500516176348,20.0
datum structure,29,3.3353749158170367,96.72587255869406,6.666666666666667
man woman,45,2.1314021114911004,95.91309501709952,30.0
word token,47,2.0360919316867756,95.69632078927846,33.33333333333333
speech writing,44,2.1314021114911004,93.78169290560842,30.0
web corpus,44,2.1314021114911004,93.78169290560842,30.0
language processing,58,1.60077386042893,92.84488390487795,53.333333333333336
test statistic,35,2.6422277352570913,92.47797073399819,16.666666666666664
correspondence analysis,37,2.488077055429833,92.05885105090381,20.0
speech community,37,2.488077055429833,92.05885105090381,20.0
discourse marker,39,2.35454566280531,91.82728084940709,23.333333333333332
corpus compilation,41,2.236762627148927,91.707267713106,26.666666666666668
search engine,43,2.1314021114911004,91.65029079411731,30.0
sample size,51,1.7949298748698876,91.54142361836426,43.333333333333336
input vector,27,3.3353749158170367,90.05512272706,6.666666666666667
response variable,27,3.3353749158170367,90.05512272706,6.666666666666667
function need,24,3.740840023925201,89.78016057420481,3.3333333333333335
basis function,24,3.740840023925201,89.78016057420481,3.3333333333333335
corpus type,44,2.0360919316867756,89.58804499421812,33.33333333333333
word sequence,38,2.35454566280531,89.47273518660178,23.333333333333332
corpora corpus,51,1.7259370033829362,88.02278717252975,46.666666666666664
number of occurrence,41,2.1314021114911004,87.38748657113511,30.0
row column,39,2.236762627148927,87.23374245880817,26.666666666666668
register variation,33,2.6422277352570913,87.19351526348402,16.666666666666664
measure of dispersion,37,2.35454566280531,87.11818952379647,23.333333333333332
corpus query,35,2.488077055429833,87.08269694004414,20.0
row vector,26,3.3353749158170367,86.71974781124295,6.666666666666667
head tail,26,3.3353749158170367,86.71974781124295,6.666666666666667
datum matrix,26,3.3353749158170367,86.71974781124295,6.666666666666667
datum corpus,50,1.7259370033829362,86.29685016914681,46.666666666666664
connection vector,23,3.740840023925201,86.03932055027963,3.3333333333333335
word occurrence,34,2.488077055429833,84.59461988461432,20.0
word text,47,1.7949298748698876,84.36170411888472,43.333333333333336
frequency count,43,1.949080554697146,83.81046385197727,36.666666666666664
cluster structure,25,3.3353749158170367,83.38437289542591,6.666666666666667
search word,39,2.1314021114911004,83.12468234815292,30.0
number of case,37,2.236762627148927,82.7602172045103,26.666666666666668
subordinate clause,37,2.236762627148927,82.7602172045103,26.666666666666668
tool method,27,3.0476928433652555,82.2877067708619,10.0
language teaching,44,1.8690378470236095,82.23766526903881,40.0
mann whitney,29,2.8245492920510458,81.91192946948033,13.333333333333334
type of datum,42,1.949080554697146,81.86138329728013,36.666666666666664
multi word unit,34,2.35454566280531,80.05455253538054,23.333333333333332
use of language,41,1.949080554697146,79.91230274258298,36.666666666666664
time period,41,1.949080554697146,79.91230274258298,36.666666666666664
punctuation mark,30,2.6422277352570913,79.26683205771273,16.666666666666664
log odd,26,3.0476928433652555,79.24001392749665,10.0
collector vector,21,3.740840023925201,78.55764050242922,3.3333333333333335
corpora contain,35,2.236762627148927,78.28669195021246,26.666666666666668
corpus word,40,1.949080554697146,77.96322218788583,36.666666666666664
datum table,33,2.35454566280531,77.70000687257523,23.333333333333332
research hypothesis,23,3.3353749158170367,76.71362306379184,6.666666666666667
translation study,29,2.6422277352570913,76.62460432245565,16.666666666666664
target language,27,2.8245492920510458,76.26283088537824,13.333333333333334
thing need,27,2.8245492920510458,76.26283088537824,13.333333333333334
portion of corpus,25,3.0476928433652555,76.1923210841314,10.0
data matrix,25,3.0476928433652555,76.1923210841314,10.0
type of text,34,2.236762627148927,76.04992932306352,26.666666666666668
type of information,32,2.35454566280531,75.34546120976992,23.333333333333332
basis vector,20,3.740840023925201,74.81680047850402,3.3333333333333335
frequency breakdown,20,3.740840023925201,74.81680047850402,3.3333333333333335
effect model,30,2.488077055429833,74.64231166289498,20.0
line break,30,2.488077055429833,74.64231166289498,20.0
content word,33,2.236762627148927,73.81316669591459,26.666666666666668
effect size measure,26,2.8245492920510458,73.43828159332719,13.333333333333334
stop word,26,2.8245492920510458,73.43828159332719,13.333333333333334
discourse domain,26,2.8245492920510458,73.43828159332719,13.333333333333334
mean score,22,3.3353749158170367,73.3782481479748,6.666666666666667
speech tagging,36,2.0360919316867756,73.29930954072393,33.33333333333333
use of word,36,2.0360919316867756,73.29930954072393,33.33333333333333
register study,24,3.0476928433652555,73.14462824076614,10.0
classification tree,24,3.0476928433652555,73.14462824076614,10.0
use corpus,44,1.6613984822453651,73.10153321879606,50.0
lob corpus,31,2.35454566280531,72.99091554696462,23.333333333333332
corpus tool,42,1.7259370033829362,72.48935414208331,46.666666666666664
speaker writer,34,2.1314021114911004,72.46767179069741,30.0
mother tongue,27,2.6422277352570913,71.34014885194146,16.666666666666664
actual script rstudio,19,3.740840023925201,71.07596045457882,3.3333333333333335
find word,30,2.35454566280531,70.63636988415931,23.333333333333332
target domain,25,2.8245492920510458,70.61373230127614,13.333333333333334
search result,33,2.1314021114911004,70.33626967920631,30.0
correlation coefficient,33,2.1314021114911004,70.33626967920631,30.0
data space,21,3.3353749158170367,70.04287323215777,6.666666666666667
datum point,39,1.7949298748698876,70.00226511992562,43.333333333333336
word order,31,2.236762627148927,69.33964144161675,26.666666666666668
sequence of word,35,1.949080554697146,68.21781941440011,36.666666666666664
use of corpus,35,1.949080554697146,68.21781941440011,36.666666666666664
text category,32,2.1314021114911004,68.20486756771521,30.0
sub corpus,32,2.1314021114911004,68.20486756771521,30.0
word family,24,2.8245492920510458,67.7891830092251,13.333333333333334
exercise box,18,3.740840023925201,67.33512043065362,3.3333333333333335
dialect study,18,3.740840023925201,67.33512043065362,3.3333333333333335
statistical description analysis,18,3.740840023925201,67.33512043065362,3.3333333333333335
software program,27,2.488077055429833,67.17808049660549,20.0
press reportage,22,3.0476928433652555,67.04924255403562,10.0
google books,22,3.0476928433652555,67.04924255403562,10.0
hypothesis generation,20,3.3353749158170367,66.70749831634073,6.666666666666667
save file,20,3.3353749158170367,66.70749831634073,6.666666666666667
log likelihood,34,1.949080554697146,66.26873885970296,36.666666666666664
language sample,34,1.949080554697146,66.26873885970296,36.666666666666664
pearson correlation,25,2.6422277352570913,66.05569338142729,16.666666666666664
word boundary,25,2.6422277352570913,66.05569338142729,16.666666666666664
frequency table,35,1.8690378470236095,65.41632464582634,40.0
language change,35,1.8690378470236095,65.41632464582634,40.0
list of word,35,1.8690378470236095,65.41632464582634,40.0
research corpus,32,2.0360919316867756,65.15494181397682,33.33333333333333
translation equivalent,23,2.8245492920510458,64.96463371717405,13.333333333333334
operating system,23,2.8245492920510458,64.96463371717405,13.333333333333334
difference group,29,2.236762627148927,64.86611618731888,26.666666666666668
need use,29,2.236762627148927,64.86611618731888,26.666666666666668
state of art,29,2.236762627148927,64.86611618731888,26.666666666666668
natural language processing,39,1.6613984822453651,64.79454080756923,50.0
dispersion measure,26,2.488077055429833,64.69000344117565,20.0
male speaker,26,2.488077055429833,64.69000344117565,20.0
number of time,33,1.949080554697146,64.31965830500582,36.666666666666664
representative study,21,3.0476928433652555,64.00154971067036,10.0
study of language,37,1.7259370033829362,63.85966912516864,46.666666666666664
load corpus file,17,3.740840023925201,63.594280406728416,3.3333333333333335
recommendation study exploration,17,3.740840023925201,63.594280406728416,3.3333333333333335
datum datum,34,1.8690378470236095,63.54728679880272,40.0
study use,34,1.8690378470236095,63.54728679880272,40.0
inclusion corpus,24,2.6422277352570913,63.413465646170195,16.666666666666664
language corpora,38,1.6613984822453651,63.133142325323874,50.0
corpus user,31,2.0360919316867756,63.11884988229004,33.33333333333333
form of verb,31,2.0360919316867756,63.11884988229004,33.33333333333333
target corpus,28,2.236762627148927,62.62935356016996,26.666666666666668
frequency distribution,32,1.949080554697146,62.37057775030867,36.666666666666664
text genre,25,2.488077055429833,62.20192638574582,20.0
regression analysis,22,2.8245492920510458,62.14008442512301,13.333333333333334
type of annotation,26,2.35454566280531,61.218187232938064,23.333333333333332
newspaper article,30,2.0360919316867756,61.082757950603266,33.33333333333333
corpus use,34,1.7949298748698876,61.02761574557618,43.333333333333336
corpus composition,20,3.0476928433652555,60.953856867305106,10.0
group mean,20,3.0476928433652555,60.953856867305106,10.0
corpus project,23,2.6422277352570913,60.7712379109131,16.666666666666664
keyword list,23,2.6422277352570913,60.7712379109131,16.666666666666664
question mark,23,2.6422277352570913,60.7712379109131,16.666666666666664
language study,31,1.949080554697146,60.42149719561152,36.666666666666664
frequency of occurrence,31,1.949080554697146,60.42149719561152,36.666666666666664
verb noun,27,2.236762627148927,60.39259093302103,26.666666666666668
load file,18,3.3353749158170367,60.03674848470666,6.666666666666667
parce que,16,3.740840023925201,59.853440382803214,3.3333333333333335
corpus sample,28,2.1314021114911004,59.67925912175081,30.0
ice corpora,21,2.8245492920510458,59.31553513307196,13.333333333333334
language development,21,2.8245492920510458,59.31553513307196,13.333333333333334
type of corpus,29,2.0360919316867756,59.04666601891649,33.33333333333333
building corpus,25,2.35454566280531,58.86364157013275,23.333333333333332
information corpus,30,1.949080554697146,58.472416640914375,36.666666666666664
number of text,26,2.236762627148927,58.155828305872106,26.666666666666668
number of token,26,2.236762627148927,58.155828305872106,26.666666666666668
matrix verb,19,3.0476928433652555,57.90616402393985,10.0
test hypothesis,27,2.1314021114911004,57.54785701025971,30.0
vice versa,27,2.1314021114911004,57.54785701025971,30.0
sub corpora,27,2.1314021114911004,57.54785701025971,30.0
researcher use,27,2.1314021114911004,57.54785701025971,30.0
collection of text,32,1.7949298748698876,57.437755995836405,43.333333333333336
selection criterion,23,2.488077055429833,57.225772274886154,20.0
precision recall,23,2.488077055429833,57.225772274886154,20.0
london lund,23,2.488077055429833,57.225772274886154,20.0
face face,23,2.488077055429833,57.225772274886154,20.0
corpus search,28,2.0360919316867756,57.01057408722971,33.33333333333333
multimodal corpora,17,3.3353749158170367,56.70137356888962,6.666666666666667
computer language,17,3.3353749158170367,56.70137356888962,6.666666666666667
split infinitive,17,3.3353749158170367,56.70137356888962,6.666666666666667
component of ice,17,3.3353749158170367,56.70137356888962,6.666666666666667
pearson chi,17,3.3353749158170367,56.70137356888962,6.666666666666667
point time,29,1.949080554697146,56.523336086217235,36.666666666666664
age gender,24,2.35454566280531,56.50909590732744,23.333333333333332
contingency table,20,2.8245492920510458,56.490985841020915,13.333333333333334
source domain,15,3.740840023925201,56.11260035887801,3.3333333333333335
matukar panau,15,3.740840023925201,56.11260035887801,3.3333333333333335
vector element,15,3.740840023925201,56.11260035887801,3.3333333333333335
non corpus,15,3.740840023925201,56.11260035887801,3.3333333333333335
inter rater agreement,15,3.740840023925201,56.11260035887801,3.3333333333333335
aspect of script,15,3.740840023925201,56.11260035887801,3.3333333333333335
word sentence,30,1.8690378470236095,56.07113541070829,40.0
time span,25,2.236762627148927,55.91906567872318,26.666666666666668
word sample,21,2.6422277352570913,55.48678244039892,16.666666666666664
corpus approach,21,2.6422277352570913,55.48678244039892,16.666666666666664
research goal,21,2.6422277352570913,55.48678244039892,16.666666666666664
corpus work,21,2.6422277352570913,55.48678244039892,16.666666666666664
word sense,26,2.1314021114911004,55.416454898768606,30.0
difference use,26,2.1314021114911004,55.416454898768606,30.0
language language,27,2.0360919316867756,54.974482155542944,33.33333333333333
verb phrase,18,3.0476928433652555,54.8584711805746,10.0
language register,18,3.0476928433652555,54.8584711805746,10.0
corpus architecture,18,3.0476928433652555,54.8584711805746,10.0
age group,22,2.488077055429833,54.73769521945632,20.0
language feature,22,2.488077055429833,54.73769521945632,20.0
method corpus,22,2.488077055429833,54.73769521945632,20.0
word level,28,1.949080554697146,54.57425553152009,36.666666666666664
datum analysis,28,1.949080554697146,54.57425553152009,36.666666666666664
research area,23,2.35454566280531,54.154550244522135,23.333333333333332
length word,23,2.35454566280531,54.154550244522135,23.333333333333332
corpus method,23,2.35454566280531,54.154550244522135,23.333333333333332
analysis of corpus,30,1.7949298748698876,53.84789624609663,43.333333333333336
annotation system,19,2.8245492920510458,53.66643654896987,13.333333333333334
concordance analysis,19,2.8245492920510458,53.66643654896987,13.333333333333334
result file,19,2.8245492920510458,53.66643654896987,13.333333333333334
group variance,19,2.8245492920510458,53.66643654896987,13.333333333333334
set of variable,19,2.8245492920510458,53.66643654896987,13.333333333333334
speech rate,16,3.3353749158170367,53.36599865307259,6.666666666666667
random intercept,16,3.3353749158170367,53.36599865307259,6.666666666666667
tyneside speech,16,3.3353749158170367,53.36599865307259,6.666666666666667
corpus driven study,16,3.3353749158170367,53.36599865307259,6.666666666666667
grammar book,16,3.3353749158170367,53.36599865307259,6.666666666666667
vector factor,16,3.3353749158170367,53.36599865307259,6.666666666666667
coefficient of variation,16,3.3353749158170367,53.36599865307259,6.666666666666667
variety of language,25,2.1314021114911004,53.28505278727751,30.0
corpora corpora,26,2.0360919316867756,52.93839022385617,33.33333333333333
conclusion chapter,20,2.6422277352570913,52.844554705141825,16.666666666666664
use language,27,1.949080554697146,52.62517497682294,36.666666666666664
way corpus,27,1.949080554697146,52.62517497682294,36.666666666666664
word co,27,1.949080554697146,52.62517497682294,36.666666666666664
time corpus,27,1.949080554697146,52.62517497682294,36.666666666666664
list element,14,3.740840023925201,52.37176033495281,3.3333333333333335
variation text length,14,3.740840023925201,52.37176033495281,3.3333333333333335
british library newspapers,14,3.740840023925201,52.37176033495281,3.3333333333333335
high frequency verb,14,3.740840023925201,52.37176033495281,3.3333333333333335
datum object,14,3.740840023925201,52.37176033495281,3.3333333333333335
corpus creator,21,2.488077055429833,52.24961816402649,20.0
section of chapter,21,2.488077055429833,52.24961816402649,20.0
speech sample,21,2.488077055429833,52.24961816402649,20.0
significance test,21,2.488077055429833,52.24961816402649,20.0
annotation process,21,2.488077055429833,52.24961816402649,20.0
production circumstance,17,3.0476928433652555,51.81077833720934,10.0
grammaticality judgment,17,3.0476928433652555,51.81077833720934,10.0
value level,17,3.0476928433652555,51.81077833720934,10.0
factor analysis,22,2.35454566280531,51.80000458171682,23.333333333333332
word expression,22,2.35454566280531,51.80000458171682,23.333333333333332
file name,22,2.35454566280531,51.80000458171682,23.333333333333332
language learner,22,2.35454566280531,51.80000458171682,23.333333333333332
word frequency list,23,2.236762627148927,51.445540424425324,26.666666666666668
software tool,23,2.236762627148927,51.445540424425324,26.666666666666668
node word,24,2.1314021114911004,51.15365067578641,30.0
conditional inference tree,18,2.8245492920510458,50.841887256918824,13.333333333333334
annotation tool,18,2.8245492920510458,50.841887256918824,13.333333333333334
pronoun use,19,2.6422277352570913,50.20232696988474,16.666666666666664
probability of error,15,3.3353749158170367,50.03062373725555,6.666666666666667
collostruction strength,15,3.3353749158170367,50.03062373725555,6.666666666666667
text language,21,2.35454566280531,49.44545891891151,23.333333333333332
corpus software,22,2.236762627148927,49.2087777972764,26.666666666666668
use word,23,2.1314021114911004,49.02224856429531,30.0
cross tabulation,16,3.0476928433652555,48.76308549384409,10.0
turn speaker,16,3.0476928433652555,48.76308549384409,10.0
number of cluster,16,3.0476928433652555,48.76308549384409,10.0
language text,25,1.949080554697146,48.727013867428646,36.666666666666664
size of corpus,25,1.949080554697146,48.727013867428646,36.666666666666664
position of match,13,3.740840023925201,48.63092031102761,3.3333333333333335
element vector,13,3.740840023925201,48.63092031102761,3.3333333333333335
trump speak,13,3.740840023925201,48.63092031102761,3.3333333333333335
vector txt,13,3.740840023925201,48.63092031102761,3.3333333333333335
analysis corpus,29,1.6613984822453651,48.18055598511559,50.0
type of speech,17,2.8245492920510458,48.01733796486778,13.333333333333334
frequency dispersion,18,2.6422277352570913,47.56009923462764,16.666666666666664
variation use,18,2.6422277352570913,47.56009923462764,16.666666666666664
definition of corpus,18,2.6422277352570913,47.56009923462764,16.666666666666664
application of corpus,19,2.488077055429833,47.273464053166826,20.0
search corpus,20,2.35454566280531,47.090913256106205,23.333333333333332
software package,21,2.236762627148927,46.97201517012747,26.666666666666668
example corpus,21,2.236762627148927,46.97201517012747,26.666666666666668
count number,21,2.236762627148927,46.97201517012747,26.666666666666668
learner language,21,2.236762627148927,46.97201517012747,26.666666666666668
text analysis,21,2.236762627148927,46.97201517012747,26.666666666666668
set of word,22,2.1314021114911004,46.89084645280421,30.0
want use,22,2.1314021114911004,46.89084645280421,30.0
sample of language,22,2.1314021114911004,46.89084645280421,30.0
frequency corpus,24,1.949080554697146,46.777933312731506,36.666666666666664
text corpora,24,1.949080554697146,46.777933312731506,36.666666666666664
corpus researcher,25,1.8690378470236095,46.72594617559024,40.0
frequency datum,25,1.8690378470236095,46.72594617559024,40.0
file manager,14,3.3353749158170367,46.69524882143851,6.666666666666667
corpora study,15,3.0476928433652555,45.71539265047883,10.0
world englishes,16,2.8245492920510458,45.19278867281673,13.333333333333334
source target,17,2.6422277352570913,44.917871499370555,16.666666666666664
significance level,17,2.6422277352570913,44.917871499370555,16.666666666666664
helsinki corpus,17,2.6422277352570913,44.917871499370555,16.666666666666664
matter of fact,17,2.6422277352570913,44.917871499370555,16.666666666666664
combination of word,17,2.6422277352570913,44.917871499370555,16.666666666666664
multi cast,12,3.740840023925201,44.89008028710241,3.3333333333333335
round bracket,12,3.740840023925201,44.89008028710241,3.3333333333333335
level of instruction,12,3.740840023925201,44.89008028710241,3.3333333333333335
research domain,12,3.740840023925201,44.89008028710241,3.3333333333333335
element of list,12,3.740840023925201,44.89008028710241,3.3333333333333335
open corpus linguistics,12,3.740840023925201,44.89008028710241,3.3333333333333335
use datum,22,2.0360919316867756,44.79402249710906,33.33333333333333
word context,22,2.0360919316867756,44.79402249710906,33.33333333333333
datum need,18,2.488077055429833,44.78538699773699,20.0
detail section,18,2.488077055429833,44.78538699773699,20.0
text speaker,18,2.488077055429833,44.78538699773699,20.0
number of character,18,2.488077055429833,44.78538699773699,20.0
information word,21,2.1314021114911004,44.759444341313106,30.0
example illustrate,21,2.1314021114911004,44.759444341313106,30.0
speech tag,21,2.1314021114911004,44.759444341313106,30.0
data collection,19,2.35454566280531,44.73636759330089,23.333333333333332
second language acquisition,19,2.35454566280531,44.73636759330089,23.333333333333332
corpus language,20,2.236762627148927,44.73525254297854,26.666666666666668
type of corpora,20,2.236762627148927,44.73525254297854,26.666666666666668
output file,13,3.3353749158170367,43.35987390562148,6.666666666666667
independence of observation,13,3.3353749158170367,43.35987390562148,6.666666666666667
column vector,13,3.3353749158170367,43.35987390562148,6.666666666666667
apply function,13,3.3353749158170367,43.35987390562148,6.666666666666667
collocation research,13,3.3353749158170367,43.35987390562148,6.666666666666667
data object,13,3.3353749158170367,43.35987390562148,6.666666666666667
sample of speech,13,3.3353749158170367,43.35987390562148,6.666666666666667
target discourse,13,3.3353749158170367,43.35987390562148,6.666666666666667
study corpus,24,1.7949298748698876,43.078316996877305,43.333333333333336
difference language,21,2.0360919316867756,42.757930565422285,33.33333333333333
factor level,14,3.0476928433652555,42.66769980711358,10.0
speaker turn,14,3.0476928433652555,42.66769980711358,10.0
phenomenon investigation,14,3.0476928433652555,42.66769980711358,10.0
case corpus,20,2.1314021114911004,42.62804222982201,30.0
compare result,20,2.1314021114911004,42.62804222982201,30.0
corpus corpora,19,2.236762627148927,42.498489915829616,26.666666666666668
speech corpus,19,2.236762627148927,42.498489915829616,26.666666666666668
monitor corpus,19,2.236762627148927,42.498489915829616,26.666666666666668
advantage disadvantage,19,2.236762627148927,42.498489915829616,26.666666666666668
audio file,19,2.236762627148927,42.498489915829616,26.666666666666668
unit of analysis,18,2.35454566280531,42.38182193049558,23.333333333333332
data analysis,18,2.35454566280531,42.38182193049558,23.333333333333332
end of chapter,18,2.35454566280531,42.38182193049558,23.333333333333332
markup language,18,2.35454566280531,42.38182193049558,23.333333333333332
type of analysis,18,2.35454566280531,42.38182193049558,23.333333333333332
period of time,18,2.35454566280531,42.38182193049558,23.333333333333332
reference corpora,18,2.35454566280531,42.38182193049558,23.333333333333332
research study,18,2.35454566280531,42.38182193049558,23.333333333333332
speaker group,15,2.8245492920510458,42.36823938076569,13.333333333333334
bnc contains,15,2.8245492920510458,42.36823938076569,13.333333333333334
distance point,15,2.8245492920510458,42.36823938076569,13.333333333333334
source language,15,2.8245492920510458,42.36823938076569,13.333333333333334
look word,15,2.8245492920510458,42.36823938076569,13.333333333333334
mixed effect model,15,2.8245492920510458,42.36823938076569,13.333333333333334
number of study,15,2.8245492920510458,42.36823938076569,13.333333333333334
number of hit,15,2.8245492920510458,42.36823938076569,13.333333333333334
wider range,17,2.488077055429833,42.29730994230716,20.0
word bnc,17,2.488077055429833,42.29730994230716,20.0
detail chapter,17,2.488077055429833,42.29730994230716,20.0
speaker age,16,2.6422277352570913,42.27564376411346,16.666666666666664
sampling frame,16,2.6422277352570913,42.27564376411346,16.666666666666664
analysis of datum,24,1.7259370033829362,41.422488081190465,46.666666666666664
collocation box,11,3.740840023925201,41.14924026317721,3.3333333333333335
graph distance,11,3.740840023925201,41.14924026317721,3.3333333333333335
information text,20,2.0360919316867756,40.721838633735516,33.33333333333333
distribution of word,18,2.236762627148927,40.26172728868069,26.666666666666668
user of corpus,18,2.236762627148927,40.26172728868069,26.666666666666668
word construction,17,2.35454566280531,40.02727626769027,23.333333333333332
cut point,17,2.35454566280531,40.02727626769027,23.333333333333332
feature count,12,3.3353749158170367,40.02449898980444,6.666666666666667
create frequency list,12,3.3353749158170367,40.02449898980444,6.666666666666667
word turn,12,3.3353749158170367,40.02449898980444,6.666666666666667
principal component analysis,12,3.3353749158170367,40.02449898980444,6.666666666666667
file save,12,3.3353749158170367,40.02449898980444,6.666666666666667
argument vector,12,3.3353749158170367,40.02449898980444,6.666666666666667
domain of interest,12,3.3353749158170367,40.02449898980444,6.666666666666667
word processor,16,2.488077055429833,39.809232886877325,20.0
word frequent,16,2.488077055429833,39.809232886877325,20.0
type corpus,16,2.488077055429833,39.809232886877325,20.0
model selection,15,2.6422277352570913,39.63341602885637,16.666666666666664
language education,15,2.6422277352570913,39.63341602885637,16.666666666666664
bar plot,15,2.6422277352570913,39.63341602885637,16.666666666666664
